25-8-2023_21-9-36,50.00,600.00,0.50,94563.01,578.84,1.47,31.55,42.28,0.00,0.99,84.76,153.07,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-37,50.00,600.00,0.50,94563.01,578.84,1.47,31.55,42.28,0.00,0.99,84.63,153.48,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-38,50.00,600.00,0.50,94564.02,578.75,1.38,31.57,42.15,-0.06,0.99,85.65,153.96,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-40,50.00,600.00,0.50,94564.02,578.75,1.38,31.57,42.15,0.00,0.99,85.85,154.42,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-41,50.00,600.00,0.50,94564.02,578.75,1.38,31.57,42.15,0.00,0.99,86.38,154.51,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-42,50.00,600.00,0.50,94565.24,578.64,1.27,31.57,41.98,-0.07,0.99,84.92,156.00,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-44,50.00,600.00,0.50,94565.24,578.64,1.27,31.57,41.98,0.00,0.99,85.01,156.34,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-45,50.00,600.00,0.50,94565.24,578.64,1.27,31.57,41.98,0.00,0.99,86.41,154.81,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-46,50.00,600.00,0.50,94567.45,578.44,1.07,31.58,41.86,-0.13,0.99,85.23,155.29,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-48,50.00,600.00,0.50,94567.45,578.44,1.07,31.58,41.86,0.00,0.98,84.96,152.95,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-49,50.00,600.00,0.50,94567.45,578.44,1.07,31.58,41.86,0.00,0.98,85.11,153.06,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-51,50.00,600.00,0.50,94564.28,578.72,1.36,31.59,41.78,0.00,0.99,85.20,155.30,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-53,50.00,600.00,0.50,94564.28,578.72,1.36,31.59,41.78,0.00,0.99,85.00,155.36,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-54,50.00,600.00,0.50,94566.36,578.54,1.17,31.59,41.76,-0.13,0.99,84.98,155.37,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-55,50.00,600.00,0.50,94566.36,578.54,1.17,31.59,41.76,0.00,0.99,84.89,154.83,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-57,50.00,600.00,0.50,94566.36,578.54,1.17,31.59,41.76,0.00,0.99,85.17,155.54,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-58,50.00,600.00,0.50,94565.74,578.59,1.22,31.61,41.66,0.04,0.99,85.65,156.70,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-9-59,50.00,600.00,0.50,94565.74,578.59,1.22,31.61,41.66,0.00,0.99,85.50,156.74,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-10-0,50.00,600.00,0.50,94565.74,578.59,1.22,31.61,41.66,0.00,0.99,84.48,156.75,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-10-2,50.00,600.00,0.50,94558.21,579.26,1.90,31.61,41.57,0.46,0.99,85.16,156.96,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-10-4,50.00,600.00,0.50,94558.21,579.26,1.90,31.61,41.57,0.00,0.99,85.12,155.94,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-10-5,50.00,600.00,0.50,94558.21,579.26,1.90,31.61,41.57,0.00,0.99,85.63,157.66,0.000000,0.000000,0.00,0.00,0,"0
"
25-8-2023_21-10-5,50.00,600.00,0.50,94561.02,579.01,1.65,31.63,41.59,-0.17,0.99,85.42,158.03,0.000000,0.000000,0.00,0.00,0,"0
"
""
